title,publisher,aggregationType,subject_area_abbrevs,subject_area_names,SNIP,SJR,publicationCount_2022,citeCountSCE_2022,zeroCitesSCE_2022,revPercent_2022,publicationCount_2023,citeCountSCE_2023,zeroCitesSCE_2023,revPercent_2023,publicationCount_2024,citeCountSCE_2024,zeroCitesSCE_2024,revPercent_2024,citeScoreTracker_2024,citeScoreCurrentMetric_2023
"Communication, Culture and Critique",John Wiley & Sons Inc.,journal,SOCI;COMP,Computer Science Applications;Cultural Studies;Communication,0.784,0.292,51,420,16,7.84,39,576,20,0.0,31,628,26,3.23,2.2,2.5
Communications in Applied Mathematics and Computational Science,Mathematical Sciences Publishers,journal,MATH;COMP,Computer Science Applications;Computational Theory and Mathematics;Applied Mathematics,1.006,0.653,4,517,0,0.0,7,478,3,0.0,3,447,3,0.0,3.3,3.5
Communications in Computer and Information Science,Springer Science and Business Media Deutschland GmbH,bookseries,MATH;COMP,Mathematics (all);Computer Science (all),0.246,0.203,6402,22148,3622,0.0,5305,24714,3800,0.0,6672,21401,6124,0.0,0.9,1.1
Communications of the ACM,Association for Computing Machinery (ACM),journal,COMP,Computer Science (all),5.136,2.957,320,37617,130,5.0,271,43020,132,4.06,175,34727,145,1.71,12.0,16.1
Communications of the Association for Information Systems,Association for Information Systems,journal,COMP,Information Systems,0.893,0.620,79,2836,15,0.0,99,3154,36,2.02,70,2782,56,1.43,4.2,3.9
Complex Analysis and Operator Theory,Birkhauser Verlag Basel,journal,MATH;COMP,Applied Mathematics;Computational Theory and Mathematics;Computational Mathematics,1.04,0.499,116,870,49,0.0,137,982,89,2.19,174,961,152,0.0,1.1,1.2
Complex Systems,"Complex Systems Publications, Inc",journal,ENGI;COMP,Control and Systems Engineering;Computer Science (all),0.783,0.285,19,96,11,0.0,17,110,12,0.0,9,93,9,0.0,0.8,1.8
Complex Systems Informatics and Modeling Quarterly,Riga Technical University,journal,BUSI;ENGI;COMP,"Business, Management and Accounting (miscellaneous);Information Systems;Engineering (miscellaneous);Artificial Intelligence",0.626,0.280,19,72,8,0.0,20,107,11,0.0,11,122,10,0.0,2.9,2.3
Complex and Intelligent Systems,Springer International Publishing AG,journal,ENGI;MATH;COMP,Information Systems;Engineering (miscellaneous);Computational Mathematics;Artificial Intelligence,1.876,1.321,332,3126,19,0.3,429,5522,54,0.23,463,6755,280,0.0,10.1,9.6
Complexity,Hindawi Limited,journal,MULT;COMP,Multidisciplinary;Computer Science (all),0.668,0.445,623,13681,116,2.89,257,13685,160,1.56,246,12245,225,0.0,6.5,5.8
Computability,IOS Press BV,journal,MATH;COMP,Theoretical Computer Science;Computer Science Applications;Computational Theory and Mathematics;Artificial Intelligence,0.564,0.599,16,72,6,0.0,19,79,10,0.0,9,50,8,0.0,0.9,1.1
Computacion y Sistemas,Centro de Investigacion en Computacion (CIC) del Instituto Politecnico Nacional (IPN),journal,COMP,Computer Science (all),0.27,0.230,128,647,52,4.69,97,641,74,1.03,64,509,56,3.13,1.0,1.1
Computation,Multidisciplinary Digital Publishing Institute (MDPI),journal,MATH;COMP,Theoretical Computer Science;Modeling and Simulation;Applied Mathematics;Computer Science (all),0.946,0.409,222,1290,27,2.7,254,1882,80,2.76,210,2019,153,5.71,3.7,3.5
Computational Complexity,Birkhauser Verlag Basel,journal,MATH;COMP,Mathematics (all);Computational Theory and Mathematics;Computational Mathematics;Theoretical Computer Science,0.675,0.453,17,718,4,0.0,13,627,8,0.0,12,578,12,0.0,1.7,1.5
Computational Economics,Springer Netherlands,journal,ECON;COMP,"Economics, Econometrics and Finance (miscellaneous);Computer Science Applications",1.087,0.498,134,1922,18,0.75,194,2066,69,1.03,340,2233,245,0.0,4.9,4.0
Computational Geometry: Theory and Applications,Elsevier B.V.,journal,MATH;COMP,Computational Theory and Mathematics;Geometry and Topology;Computational Mathematics;Computer Science Applications;Control and Optimization,1.02,0.497,45,1353,20,0.0,67,1296,36,0.0,33,1083,27,0.0,1.7,1.6
Computational Geosciences,Springer Netherlands,journal,MATH;EART;COMP,Computational Theory and Mathematics;Computer Science Applications;Computational Mathematics;Computers in Earth Sciences,0.842,0.663,83,3707,13,1.2,69,3076,13,0.0,77,2954,50,0.0,6.0,6.1
Computational Intelligence,Wiley-Blackwell Publishing Ltd,journal,MATH;COMP,Computational Mathematics;Artificial Intelligence,1.032,0.692,91,2180,10,0.0,50,2304,14,0.0,111,2062,82,0.0,6.7,6.9
Computational Linguistics,MIT Press Journals,journal,ARTS;SOCI;COMP,Computer Science Applications;Linguistics and Language;Language and Linguistics;Artificial Intelligence,3.771,1.367,36,3536,7,0.0,34,3787,9,0.0,13,2846,2,7.69,17.2,15.8
Computational Materials Science,Elsevier B.V.,journal,MATH;PHYS;MATE;CHEM;ENGI;COMP,Physics and Astronomy (all);Materials Science (all);Computational Mathematics;Computer Science (all);Chemistry (all);Mechanics of Materials,0.961,0.741,653,35154,59,0.61,605,35737,84,0.33,675,36383,375,0.15,6.1,6.5
Computational Mechanics,Springer Verlag,journal,ENGI;MATH;COMP,Mechanical Engineering;Computational Theory and Mathematics;Computational Mathematics;Ocean Engineering;Computational Mechanics;Applied Mathematics,1.287,1.265,143,9173,10,0.7,132,9177,17,1.52,207,8706,125,0.97,7.6,7.8
Computational Methods and Function Theory,Springer Verlag,journal,MATH;COMP,Analysis;Computational Theory and Mathematics;Applied Mathematics,1.165,0.448,44,475,18,0.0,56,422,35,0.0,74,388,64,0.0,2.9,3.2
Computational Methods in Applied Sciences,Springer,bookseries,CENG;ENGI;MATH;COMP,Modeling and Simulation;Civil and Structural Engineering;Computational Mathematics;Electrical and Electronic Engineering;Biomedical Engineering;Computer Science Applications;Fluid Flow and Transfer Processes,0.302,0.139,44,527,26,0.0,1,493,0,0.0,17,460,16,0.0,1.5,2.4
Computational Statistics and Data Analysis,Elsevier B.V.,journal,MATH;COMP,Computational Mathematics;Statistics and Probability;Computational Theory and Mathematics;Applied Mathematics,1.42,1.008,176,12347,21,0.0,156,11853,51,0.64,115,11030,81,0.87,3.0,3.7
Computational Toxicology,Elsevier B.V.,journal,PHAR;ENVI;COMP,"Computer Science Applications;Toxicology;Health, Toxicology and Mutagenesis",0.886,0.616,52,585,8,5.77,38,753,3,7.89,41,756,31,2.44,6.2,5.5
Computational Urban Science,Springer,journal,SOCI;ENVI;COMP,Environmental Science (miscellaneous);Computer Science Applications;Artificial Intelligence;Urban Studies,1.093,0.627,47,121,7,2.13,36,301,7,2.78,28,450,20,14.29,6.3,4.1
Computational Visual Media,Tsinghua University Press,journal,COMP,Computer Graphics and Computer-Aided Design;Artificial Intelligence;Computer Vision and Pattern Recognition,4.462,4.608,40,1192,4,17.5,62,2144,17,8.06,59,2729,37,6.78,28.1,16.9
Computational and Mathematical Methods,Wiley-Blackwell Publishing Ltd,journal,ENGI;MATH;COMP,Computational Theory and Mathematics;Computational Mechanics;Computational Mathematics,0.539,0.295,7,194,1,0.0,14,202,6,0.0,9,186,8,0.0,2.6,2.2
Computational and Mathematical Organization Theory,Kluwer Academic Publishers,journal,DECI;MATH;COMP,Modeling and Simulation;Computational Mathematics;Decision Sciences (all);Computer Science (all);Applied Mathematics,0.833,0.530,15,646,4,0.0,23,582,7,0.0,21,582,11,4.76,4.1,3.8
Computational and Structural Biotechnology Journal,Elsevier B.V.,journal,BIOC;COMP,Biotechnology;Genetics;Structural Biology;Biophysics;Biochemistry;Computer Science Applications,1.04,1.485,570,10312,33,18.42,519,12004,75,13.49,425,12816,283,8.94,9.1,9.3
Computer,IEEE Computer Society,tradejournal,COMP,Computer Science (all),1.067,0.803,190,12414,52,6.32,198,12069,76,9.6,180,8864,154,15.0,3.9,3.9
Computer Aided Chemical Engineering,Elsevier B.V.,bookseries,CENG;COMP,Computer Science Applications;Chemical Engineering (all),0.061,0.103,632,3205,298,0.0,562,3102,349,0.0,590,2846,562,0.0,0.9,0.9
Computer Aided Geometric Design,Elsevier B.V.,journal,ENGI;MATH;COMP,Aerospace Engineering;Modeling and Simulation;Computer Graphics and Computer-Aided Design;Automotive Engineering,1.138,0.602,52,2401,11,0.0,40,2294,16,0.0,85,1913,72,1.18,2.3,3.5
Computer Animation and Virtual Worlds,John Wiley and Sons Ltd,journal,COMP,Software;Computer Graphics and Computer-Aided Design,0.436,0.403,71,916,19,0.0,79,983,28,0.0,89,1086,70,0.0,2.2,2.2
Computer Applications in Engineering Education,John Wiley & Sons Inc.,journal,ENGI;SOCI;COMP,Education;Engineering (all);Computer Science (all),1.371,0.715,120,2491,12,5.0,106,2833,26,5.66,121,3189,85,4.96,8.0,7.2
Computer Assisted Language Learning,Taylor and Francis Ltd.,journal,ARTS;SOCI;COMP,Computer Science Applications;Linguistics and Language;Language and Linguistics,3.239,2.370,103,4330,0,12.62,116,5344,8,7.76,126,5452,36,4.76,20.3,18.5
Computer Assisted Methods in Engineering and Science,"Institute of Fundamental Technological Research, Polish Academy of Sciences",journal,ENGI;COMP,Mechanical Engineering;Computer Science Applications;Computational Mechanics,0.663,0.230,19,109,6,5.26,33,135,12,0.0,14,119,13,0.0,2.1,1.8
Computer Assisted Surgery,Taylor and Francis Ltd.,journal,MEDI;COMP,Surgery;Computer Science Applications;Family Practice,0.546,0.297,13,1033,3,15.38,15,917,3,6.67,11,728,9,27.27,2.5,2.3
Computer Communication Review,Association for Computing Machinery (ACM),journal,COMP,Computer Networks and Communications;Software,1.134,0.876,24,8136,7,12.5,11,7619,3,9.09,9,5481,6,11.11,5.1,6.9
Computer Communications,Elsevier B.V.,journal,COMP,Computer Networks and Communications,1.652,1.402,398,13415,26,4.02,343,14486,57,3.79,327,12966,195,3.98,10.1,14.1
Computer Graphics Forum,Wiley-Blackwell Publishing Ltd,journal,COMP,Computer Graphics and Computer-Aided Design,1.183,1.968,271,10988,37,0.37,245,11648,79,0.0,241,10304,213,0.0,5.3,5.8
Computer Journal,Oxford University Press,journal,COMP,Computer Science (all),0.838,0.520,226,3866,38,0.44,213,3999,65,0.0,237,3488,163,0.42,3.9,3.6
Computer Law and Security Review,Elsevier Ltd,journal,BUSI;SOCI;COMP,"Computer Networks and Communications;Business, Management and Accounting (all);Law",2.157,0.847,70,2260,5,0.0,79,2504,18,0.0,131,2577,80,0.76,5.1,5.6
Computer Methods and Programs in Biomedicine,Elsevier Ireland Ltd,journal,MEDI;COMP,Software;Computer Science Applications;Health Informatics,1.641,1.189,617,21628,30,4.05,486,23777,68,3.5,473,22103,265,2.11,9.9,12.3
Computer Methods and Programs in Biomedicine Update,Elsevier B.V.,journal,ENGI;MEDI;COMP,Biomedical Engineering;Computer Science Applications;Medicine (miscellaneous);Computer Science (miscellaneous),1.3,0.731,37,209,5,8.11,38,451,10,7.89,36,548,24,16.67,8.1,5.9
Computer Methods in Applied Mechanics and Engineering,Elsevier B.V.,journal,PHYS;ENGI;COMP,Mechanical Engineering;Physics and Astronomy (all);Computer Science Applications;Computational Mechanics;Mechanics of Materials,2.099,2.397,718,46507,16,0.0,613,48707,66,0.33,836,51124,430,0.36,11.9,12.7
Computer Methods in Biomechanics and Biomedical Engineering,Informa Healthcare,journal,CENG;ENGI;COMP,Human-Computer Interaction;Bioengineering;Computer Science Applications;Biomedical Engineering,0.922,0.421,150,4305,20,0.0,226,4449,76,0.0,334,3990,209,0.0,3.8,4.1
Computer Methods in Biomechanics and Biomedical Engineering: Imaging and Visualization,Taylor and Francis Ltd.,journal,ENGI;MEDI;COMP,"Biomedical Engineering;Computer Science Applications;Radiology, Nuclear Medicine and Imaging;Computational Mechanics",0.677,0.486,72,923,14,0.0,210,1087,69,0.0,92,1043,61,0.0,3.2,2.8
Computer Music Journal,MIT Press Journals,journal,ARTS;ENGI;COMP,Media Technology;Music;Computer Science Applications,0.689,0.220,29,605,20,3.45,12,624,7,0.0,0,430,0,0.0,1.4,1.8
Computer Networks,Elsevier B.V.,journal,COMP,Computer Networks and Communications,1.543,1.520,432,19346,21,3.47,489,20337,85,2.45,601,17630,395,3.16,8.2,10.8
Computer Optics,"Institution of Russian Academy of Sciences, Image Processing Systems Institute of RAS",journal,ENGI;COMP,Engineering (miscellaneous);Computer Vision and Pattern Recognition,0.575,0.251,109,1360,22,0.0,109,1319,47,0.0,36,787,16,0.0,3.8,4.2
Computer Physics Communications,Elsevier B.V.,journal,PHYS;COMP,Physics and Astronomy (all);Hardware and Architecture,2.749,1.790,290,30705,22,0.0,304,33435,64,0.0,359,32750,190,0.0,12.9,12.1
Computer Research and Modeling,Institute of Computer Science,journal,MATH;COMP,Modeling and Simulation;Computer Science Applications;Computational Theory and Mathematics,0.505,0.220,88,157,57,0.0,98,186,84,0.0,61,110,58,0.0,0.7,0.8
Computer Science,AGH University of Science and Technology,journal,MATH;COMP,Modeling and Simulation;Artificial Intelligence;Computer Science (miscellaneous);Computer Graphics and Computer-Aided Design;Computer Vision and Pattern Recognition;Computer Networks and Communications;Computational Theory and Mathematics,0.433,0.208,24,99,10,0.0,24,126,14,0.0,17,89,17,0.0,1.3,1.4
Computer Science Education,Taylor and Francis Ltd.,journal,SOCI;COMP,Education;Computer Science (all),1.898,0.966,23,1067,4,13.04,37,1241,11,10.81,48,1007,24,6.25,6.0,6.9
Computer Science Journal of Moldova,Institute of Mathematics and Computer Science of Moldova,journal,MATH;COMP,Modeling and Simulation;Artificial Intelligence;Software;Computer Networks and Communications;Computational Theory and Mathematics;Computational Mathematics;Computer Science Applications;Control and Optimization,0.38,0.184,24,42,14,0.0,21,36,14,0.0,15,34,14,0.0,0.9,0.8
Computer Science Review,Elsevier Ireland Ltd,journal,MATH;COMP,Theoretical Computer Science;Computer Science (all),5.873,3.679,23,4542,0,95.65,53,5769,0,100.0,58,6064,30,98.28,33.4,32.7
Computer Science and Information Systems,ComSIS Consortium,journal,COMP,Computer Science (all),0.537,0.317,79,628,12,0.0,91,663,43,0.0,89,659,82,0.0,2.5,2.3
Computer Software,Japan Society for Software Science and Technology,journal,COMP,Software,0.005,0.108,44,29,43,2.27,39,26,37,0.0,31,35,30,6.45,0.1,0.2
Computer Speech and Language,Academic Press,journal,MATH;COMP,Human-Computer Interaction;Software;Theoretical Computer Science,1.994,1.050,88,3347,5,2.27,82,3684,8,2.44,67,2746,32,2.99,10.2,11.3
Computer Standards and Interfaces,Elsevier B.V.,journal,SOCI;COMP,Software;Law;Hardware and Architecture;Computer Science (all);Computer Science Applications,1.828,1.698,55,2802,2,1.82,59,2896,2,3.39,82,2511,28,3.66,11.0,11.9
Computer Supported Cooperative Work,Springer Netherlands,journal,COMP,Computer Science (all),1.712,0.798,22,1651,0,0.0,29,1612,7,0.0,33,1470,20,0.0,5.9,6.4
Computer Systems Science and Engineering,Tech Science Press,journal,ENGI;MATH;COMP,Theoretical Computer Science;Control and Systems Engineering;Computer Science (all),0.739,0.357,319,1298,47,1.88,665,2483,151,0.3,27,2594,17,3.7,4.8,3.1
Computer Vision and Image Understanding,Academic Press Inc.,journal,COMP,Software;Signal Processing;Computer Vision and Pattern Recognition,1.562,1.420,108,8977,6,0.0,176,9005,35,0.0,253,7685,184,0.0,6.2,7.8
Computer-Aided Civil and Infrastructure Engineering,Wiley-Blackwell Publishing Ltd,journal,ENGI;COMP,Computer Science Applications;Computer Graphics and Computer-Aided Design;Computational Theory and Mathematics;Civil and Structural Engineering,3.034,2.972,119,8226,10,0.0,143,9004,13,0.0,241,9415,116,0.0,16.6,17.6
Computerized Medical Imaging and Graphics,Elsevier Ltd,journal,HEAL;MEDI;COMP,"Radiological and Ultrasound Technology;Computer Graphics and Computer-Aided Design;Computer Vision and Pattern Recognition;Radiology, Nuclear Medicine and Imaging;Health Informatics",1.671,1.459,67,5785,4,4.48,122,6211,10,6.56,119,5712,67,3.36,10.2,10.7
Computers,Multidisciplinary Digital Publishing Institute (MDPI),journal,COMP,Human-Computer Interaction;Computer Networks and Communications,1.057,0.616,185,1994,19,9.19,260,3014,55,8.46,273,3953,189,9.89,6.5,5.4
Computers and Chemical Engineering,Elsevier B.V.,journal,CENG;COMP,Computer Science Applications;Chemical Engineering (all),1.234,0.903,382,19500,17,3.14,302,17913,44,2.65,308,16713,157,1.3,7.7,8.7
Computers and Composition,Elsevier Ltd,journal,ARTS;SOCI;COMP,Education;Linguistics and Language;Language and Linguistics;Computer Science (all),1.233,0.703,24,842,11,0.0,35,905,20,0.0,38,707,30,0.0,2.7,4.3
Computers and Education,Elsevier Ltd,journal,SOCI;COMP,Education;Computer Science (all),5.041,3.651,187,36266,4,0.53,163,39969,5,0.0,114,36816,53,0.0,20.2,27.1
Computers and Education: Artificial Intelligence,Elsevier B.V.,journal,SOCI;COMP,Education;Computer Science Applications;Artificial Intelligence,5.369,3.227,68,681,3,16.18,79,2389,2,13.92,128,5089,72,7.03,22.8,16.8
Computers and Electrical Engineering,Elsevier Ltd,journal,ENGI;COMP,Electrical and Electronic Engineering;Control and Systems Engineering;Computer Science (all),1.395,1.041,693,13654,46,0.0,457,17298,49,0.0,678,16460,486,0.0,9.6,9.2
Computers and Electronics in Agriculture,Elsevier B.V.,journal,AGRI;COMP,Agronomy and Crop Science;Computer Science Applications;Horticulture;Forestry,2.344,1.735,819,37237,9,4.27,864,45916,51,3.36,1010,44635,506,6.14,13.3,15.3
Computers and Fluids,Elsevier Ltd,journal,ENGI;COMP,Engineering (all);Computer Science (all),1.222,0.885,236,14671,14,0.42,238,14167,40,1.26,243,13003,151,1.65,5.2,5.3
Computers and Geosciences,Elsevier Ltd,journal,EART;COMP,Information Systems;Computers in Earth Sciences,1.527,1.129,176,17661,13,1.7,131,17323,18,3.05,170,15490,112,1.76,8.4,9.3
Computers and Geotechnics,Elsevier B.V.,journal,EART;COMP,Geotechnical Engineering and Engineering Geology;Computer Science Applications,2.065,1.725,415,19652,8,0.24,676,21915,50,0.15,861,25456,444,0.46,8.2,9.1
Computers and Graphics (Pergamon),Elsevier Ltd,journal,ENGI;COMP,Signal Processing;Software;Engineering (all);Computer Graphics and Computer-Aided Design;Computer Vision and Pattern Recognition;Human-Computer Interaction,0.983,0.791,206,4004,50,0.0,229,4189,70,0.0,202,4090,164,0.0,5.4,5.3
Computers and Industrial Engineering,Elsevier Ltd,journal,DECI;ENGI;COMP,Engineering (all);Management Science and Operations Research;Computer Science (all),2.014,1.701,833,34174,23,0.12,805,40216,78,0.12,776,41442,437,0.0,12.1,12.7
Computers and Mathematics with Applications,Elsevier Ltd,journal,MATH;COMP,Modeling and Simulation;Computational Theory and Mathematics;Computational Mathematics,1.312,0.949,359,21939,38,0.0,420,22131,123,0.0,436,19098,331,0.0,4.8,5.1
Computers and Operations Research,Elsevier Ltd,journal,DECI;MATH;COMP,Modeling and Simulation;Management Science and Operations Research;Computer Science (all),1.934,1.574,292,21106,10,3.08,283,21472,36,0.71,326,19778,188,1.23,8.1,8.6
Computers and Security,Elsevier Ltd,journal,SOCI;COMP,Law;Computer Science (all),2.163,1.566,334,13578,9,5.09,445,16175,27,6.97,445,16358,204,4.49,11.2,12.4
Computers and Structures,Elsevier Ltd,journal,ENGI;MATH;MATE;COMP,Modeling and Simulation;Civil and Structural Engineering;Mechanical Engineering;Materials Science (all);Computer Science Applications,1.634,1.274,106,19913,2,0.0,162,19700,18,0.0,235,17894,140,1.28,7.5,8.8
Computers in Biology and Medicine,Elsevier Ltd,journal,MEDI;COMP,Computer Science Applications;Health Informatics,1.706,1.481,1121,23721,24,5.44,1200,32267,111,5.08,1455,34850,865,5.15,11.5,11.7
Computers in Human Behavior,Elsevier Ltd,journal,PSYC;ARTS;COMP,Human-Computer Interaction;Psychology (all);Arts and Humanities (miscellaneous),3.429,2.641,371,64512,1,2.43,426,71367,22,2.82,368,68934,156,2.45,18.2,19.1
Computers in Human Behavior Reports,Elsevier B.V.,journal,PSYC;NEUR;COMP,Cognitive Neuroscience;Neuroscience (miscellaneous);Artificial Intelligence;Human-Computer Interaction;Applied Psychology;Computer Science Applications,2.145,1.365,78,724,5,3.85,81,1456,9,13.58,141,2114,99,10.64,8.1,7.8
Computers in Industry,Elsevier B.V.,journal,ENGI;COMP,Engineering (all);Computer Science (all),3.137,2.453,141,11916,3,12.77,181,13672,9,4.42,80,13212,41,3.75,19.7,18.9
Computers in Libraries,Information Today,tradejournal,SOCI;COMP,Library and Information Sciences;Computer Science (all),0.851,0.133,60,84,59,0.0,101,64,91,0.0,88,53,87,0.0,0.2,0.2
Computers in the Schools,Routledge,journal,SOCI;COMP,Education;Library and Information Sciences;Computer Science (all),0.764,0.384,24,604,1,0.0,35,703,14,5.71,35,675,29,2.86,2.4,2.4
"Computers, Materials and Continua",Tech Science Press,journal,ENGI;MATH;MATE;COMP,Modeling and Simulation;Biomaterials;Electrical and Electronic Engineering;Computer Science Applications;Mechanics of Materials,0.73,0.460,1352,8655,212,0.74,1131,10169,333,1.41,760,9995,628,4.74,5.6,5.3
Computing (Vienna/New York),Springer-Verlag Wien,journal,MATH;COMP,Software;Numerical Analysis;Computational Theory and Mathematics;Computational Mathematics;Theoretical Computer Science;Computer Science Applications,1.359,0.970,111,3878,14,0.0,120,4085,25,0.0,158,3639,102,0.0,7.9,8.2
Computing and Informatics,Slovak Academy of Sciences,journal,COMP,Computer Networks and Communications;Software;Computational Theory and Mathematics;Hardware and Architecture,0.385,0.258,74,495,24,0.0,62,556,40,1.61,42,539,39,0.0,2.0,1.6
Computing and Software for Big Science,Springer Nature,journal,PHYS;COMP,Software;Nuclear and High Energy Physics;Computer Science (miscellaneous),1.868,1.610,19,333,7,10.53,14,382,4,0.0,18,345,11,16.67,4.9,6.2
Computing in Cardiology,IEEE Computer Society,conferenceproceeding,MEDI;COMP,Cardiology and Cardiovascular Medicine;Computer Science (all),0.245,0.227,315,3318,181,0.0,306,3161,271,0.0,0,2507,0,0.0,1.1,1.1
Computing in Science and Engineering,IEEE Computer Society,journal,ENGI;COMP,Engineering (all);Computer Science (all),0.857,0.375,65,8183,26,3.08,50,8187,37,2.0,27,7271,18,7.41,4.6,4.2
Concurrency Computation Practice and Experience,John Wiley and Sons Ltd,journal,MATH;COMP,Software;Computer Networks and Communications;Computational Theory and Mathematics;Theoretical Computer Science;Computer Science Applications,0.692,0.533,936,6959,140,0.11,605,8206,164,0.5,407,7224,315,2.21,5.0,5.0
Concurrent Engineering Research and Applications,SAGE Publications Ltd,journal,ENGI;MATH;COMP,Modeling and Simulation;Engineering (all);Computer Science Applications,0.814,0.590,44,853,7,0.0,10,893,6,20.0,3,676,3,0.0,8.3,6.4
Conference Record - International Conference on Communications,Institute of Electrical and Electronics Engineers Inc.,conferenceproceeding,ENGI;COMP,Computer Networks and Communications;Electrical and Electronic Engineering,0.584,0.861,970,15278,150,0.0,1087,15418,479,0.0,938,12935,856,0.0,2.8,3.6
"Conference Record of the Asilomar Conference on Signals, Systems and Computers",IEEE Computer Society,conferenceproceeding,COMP,Computer Networks and Communications;Signal Processing,0.408,0.376,268,4952,100,0.0,316,5061,244,0.0,0,4021,0,0.0,1.5,1.4
Connection Science,Taylor and Francis A.S.,journal,COMP,Human-Computer Interaction;Software;Artificial Intelligence,1.021,0.763,136,1239,5,0.0,92,1728,24,1.09,46,1690,27,8.7,8.6,6.5
Connections,Partnership for Peace Consortium of Defense Academies and Security Studies Institutes,journal,ENGI;SOCI;COMP,"Political Science and International Relations;Computer Networks and Communications;Law;Safety Research;Safety, Risk, Reliability and Quality",0,0.147,32,46,29,0.0,11,56,11,0.0,0,43,0,0.0,0.4,1.2
Constraints,Springer Netherlands,journal,MATH;COMP,Discrete Mathematics and Combinatorics;Software;Computational Theory and Mathematics;Artificial Intelligence,0.879,0.586,17,530,4,0.0,20,530,11,0.0,7,446,7,0.0,2.5,2.2
Construction Innovation,Emerald Group Publishing Ltd.,journal,ENGI;COMP,Architecture;Civil and Structural Engineering;Building and Construction;Computer Science (all);Control and Systems Engineering,1.24,0.754,60,1743,0,18.33,124,2168,18,16.13,131,2329,62,14.5,7.5,7.1
Constructivist Foundations,Vrije Universiteit Brussel,journal,SOCI;COMP;MULT,Education;Artificial Intelligence;Multidisciplinary,0.335,0.169,90,267,68,21.11,94,306,75,27.66,42,310,41,76.19,0.7,0.6
Control Engineering Practice,Elsevier Ltd,journal,ENGI;MATH;COMP,Computer Science Applications;Applied Mathematics;Electrical and Electronic Engineering;Control and Systems Engineering,1.74,1.576,172,12373,4,0.0,286,12539,35,0.0,293,11308,166,0.0,8.6,9.2
Control Engineering and Applied Informatics,Romanian Society of Control Engineering and Technical Informatics,journal,ENGI;COMP,Electrical and Electronic Engineering;Computer Science (all),0.297,0.159,35,336,21,0.0,35,314,25,0.0,28,271,24,0.0,1.1,1.5
Control Theory and Technology,Springer Science + Business Media,journal,ENGI;MATH;COMP,Modeling and Simulation;Signal Processing;Aerospace Engineering;Electrical and Electronic Engineering;Control and Systems Engineering;Information Systems;Control and Optimization,0.638,0.462,49,741,13,2.04,51,752,22,1.96,58,679,51,1.72,2.7,2.7
Corpus Pragmatics,Springer Science + Business Media,journal,ARTS;SOCI;COMP,Computer Science Applications;Linguistics and Language;Language and Linguistics,1.156,0.294,13,94,3,0.0,14,149,6,0.0,17,100,15,0.0,2.0,2.6
Cryptography,Multidisciplinary Digital Publishing Institute (MDPI),journal,MATH;COMP,Software;Computer Networks and Communications;Computational Theory and Mathematics;Computer Science Applications;Applied Mathematics,1.078,0.538,64,521,9,9.38,63,738,18,7.94,43,741,31,4.65,4.3,3.8
Cryptography and Communications,Springer Publishing Company,journal,MATH;COMP,Computer Networks and Communications;Computational Theory and Mathematics;Applied Mathematics,1.272,0.908,76,570,17,0.0,73,748,33,0.0,91,738,73,0.0,2.4,2.5
Current Opinion in Systems Biology,Elsevier Ltd,journal,MATH;PHAR;BIOC;COMP,"Modeling and Simulation;Biochemistry, Genetics and Molecular Biology (all);Computer Science Applications;Applied Mathematics;Drug Discovery",0.827,1.676,17,1275,4,82.35,21,1117,7,95.24,30,1039,14,96.67,7.6,7.1
Cutter business technology journal,Cutter Consortium,journal,BUSI;COMP,Management of Technology and Innovation;Strategy and Management;Software;Computer Science Applications;Business and International Management,0.069,0.110,0,90,0,0.0,64,101,63,1.56,50,93,49,0.0,0.0,0.0
Cyber-Physical Systems,Taylor and Francis Ltd.,journal,ENGI;COMP,Computer Networks and Communications;Control and Systems Engineering;Information Systems;Hardware and Architecture,0.38,0.257,14,124,3,0.0,18,164,7,0.0,30,176,24,0.0,3.1,3.1
Cybernetics and Information Technologies,"Institute of Information and Communication Technologies, Bulgarian Academy of Sciences",journal,COMP,Computer Science (all),0.654,0.309,46,728,15,0.0,41,773,15,0.0,21,668,19,0.0,3.3,3.2
Cybernetics and Physics,"Institute of Problems of Mechanical Engineering, Russian Academy of Sciences",journal,CENG;PHYS;MATH;COMP,Signal Processing;Artificial Intelligence;Physics and Astronomy (miscellaneous);Computer Vision and Pattern Recognition;Control and Optimization;Fluid Flow and Transfer Processes,0.714,0.265,32,128,20,0.0,35,109,24,0.0,18,74,17,0.0,1.5,1.7
Cybernetics and Systems,Taylor and Francis Ltd.,journal,COMP,Software;Information Systems;Artificial Intelligence,0.512,0.390,86,1583,13,1.16,134,1777,36,1.49,86,1697,43,1.16,3.8,4.3
Cybernetics and Systems Analysis,Springer New York,journal,COMP,Computer Science (all),0.784,0.256,109,903,51,0.0,103,965,64,0.97,79,770,75,0.0,1.5,1.5
"Cyberpsychology, Behavior, and Social Networking",Mary Ann Liebert Inc.,journal,PSYC;SOCI;COMP,Applied Psychology;Human-Computer Interaction;Social Psychology;Communication;Computer Science Applications,1.71,1.436,132,14795,23,3.79,133,15048,40,0.75,121,12552,80,7.44,8.3,9.6
Cybersecurity,SpringerOpen,journal,COMP,Computer Networks and Communications;Software;Information Systems;Artificial Intelligence,1.587,1.136,30,704,2,10.0,57,1073,21,5.26,56,1160,45,8.93,6.9,7.3
