code,abbrev,subject
2706,MEDI,Critical Care and Intensive Care Medicine
2707,MEDI,Complementary and Alternative Medicine
2708,MEDI,Dermatology
2711,MEDI,Emergency Medicine
2712,MEDI,"Endocrinology, Diabetes and Metabolism"
2713,MEDI,Epidemiology
2714,MEDI,Family Practice
2715,MEDI,Gastroenterology
2716,MEDI,Genetics (clinical)
2717,MEDI,Geriatrics and Gerontology
2718,MEDI,Health Informatics
2719,MEDI,Health Policy
2720,MEDI,Hematology
2721,MEDI,Hepatology
2722,MEDI,Histology
2723,MEDI,Immunology and Allergy
2724,MEDI,Internal Medicine
2725,MEDI,Infectious Diseases
2726,MEDI,Microbiology (medical)
2727,MEDI,Nephrology
2728,MEDI,Neurology (clinical)
2729,MEDI,Obstetrics and Gynecology
2730,MEDI,Oncology
2731,MEDI,Ophthalmology
2732,MEDI,Orthopedics and Sports Medicine
2733,MEDI,Otorhinolaryngology
2734,MEDI,Pathology and Forensic Medicine
2735,MEDI,"Pediatrics, Perinatology and Child Health"
2736,MEDI,Pharmacology (medical)
2737,MEDI,Physiology (medical)
2738,MEDI,Psychiatry and Mental Health
2739,MEDI,"Public Health, Environmental and Occupational Health"
2740,MEDI,Pulmonary and Respiratory Medicine
2741,MEDI,"Radiology, Nuclear Medicine and Imaging"
2742,MEDI,Rehabilitation
2743,MEDI,Reproductive Medicine
2745,MEDI,Rheumatology
2746,MEDI,Surgery
2747,MEDI,Transplantation
2748,MEDI,Urology
2800,NEUR,Neuroscience (all)
2801,NEUR,Neuroscience (miscellaneous)
2802,NEUR,Behavioral Neuroscience
2803,NEUR,Biological Psychiatry
2804,NEUR,Cellular and Molecular Neuroscience
2805,NEUR,Cognitive Neuroscience
2806,NEUR,Developmental Neuroscience
2807,NEUR,Endocrine and Autonomic Systems
2808,NEUR,Neurology
2809,NEUR,Sensory Systems
2900,NURS,Nursing (all)
2905,NURS,Community and Home Care
2906,NURS,Critical Care Nursing
2909,NURS,Gerontology
2911,NURS,Leadership and Management
2913,NURS,Maternity and Midwifery
2914,NURS,Medical and Surgical Nursing
2916,NURS,Nutrition and Dietetics
2917,NURS,Oncology (nursing)
2919,NURS,Pediatrics
2921,NURS,Psychiatric Mental Health
2922,NURS,Research and Theory
3000,PHAR,"Pharmacology, Toxicology and Pharmaceutics (all)"
3001,PHAR,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous)"
3002,PHAR,Drug Discovery
3003,PHAR,Pharmaceutical Science
3004,PHAR,Pharmacology
3005,PHAR,Toxicology
3100,PHYS,Physics and Astronomy (all)
3101,PHYS,Physics and Astronomy (miscellaneous)
3102,PHYS,Acoustics and Ultrasonics
3103,PHYS,Astronomy and Astrophysics
3104,PHYS,Condensed Matter Physics
3105,PHYS,Instrumentation
3106,PHYS,Nuclear and High Energy Physics
3107,PHYS,"Atomic and Molecular Physics, and Optics"
3108,PHYS,Radiation
3109,PHYS,Statistical and Nonlinear Physics
3110,PHYS,Surfaces and Interfaces
3200,PSYC,Psychology (all)
3201,PSYC,Psychology (miscellaneous)
3202,PSYC,Applied Psychology
3203,PSYC,Clinical Psychology
3204,PSYC,Developmental and Educational Psychology
3205,PSYC,Experimental and Cognitive Psychology
3206,PSYC,Neuropsychology and Physiological Psychology
3207,PSYC,Social Psychology
3300,SOCI,Social Sciences (all)
3301,SOCI,Social Sciences (miscellaneous)
3302,SOCI,Archeology
3303,SOCI,Development
3304,SOCI,Education
3305,SOCI,"Geography, Planning and Development"
3306,SOCI,Health (social science)
3307,SOCI,Human Factors and Ergonomics
3308,SOCI,Law
3309,SOCI,Library and Information Sciences
3310,SOCI,Linguistics and Language
3311,SOCI,Safety Research
3312,SOCI,Sociology and Political Science
3313,SOCI,Transportation
3314,SOCI,Anthropology
3315,SOCI,Communication
3316,SOCI,Cultural Studies
3317,SOCI,Demography
3318,SOCI,Gender Studies
3319,SOCI,Life-span and Life-course Studies
3320,SOCI,Political Science and International Relations
3321,SOCI,Public Administration
3322,SOCI,Urban Studies
3400,VETE,Veterinary (all)
3401,VETE,Veterinary (miscellaneous)
3402,VETE,Equine
3403,VETE,Food Animals
3404,VETE,Small Animals
3500,DENT,Dentistry (all)
3501,DENT,Dentistry (miscellaneous)
3504,DENT,Oral Surgery
3505,DENT,Orthodontics
3506,DENT,Periodontics
3601,HEAL,Health Professions (miscellaneous)
3605,HEAL,Health Information Management
3607,HEAL,Medical Laboratory Technology
3609,HEAL,Occupational Therapy
3611,HEAL,Pharmacy
3612,HEAL,"Physical Therapy, Sports Therapy and Rehabilitation"
3613,HEAL,Podiatry
3614,HEAL,Radiological and Ultrasound Technology
