Reliable_or_not,precision,recall,f1-score,support
0,0.6256144546299987,0.9707276850133993,0.7608660526740992,4851.0
1,0.7455197132616488,0.12863327149041434,0.21940928270042195,3234.0
accuracy,0.6338899196042053,0.6338899196042053,0.6338899196042053,0.6338899196042053
macro avg,0.6855670839458237,0.5496804782519068,0.4901376676872606,8085.0
weighted avg,0.6735765580826587,0.6338899196042053,0.5442833446846284,8085.0
